security_id,cusip,sedol,isin,ric,bloomberg,bbg,symbol,root_symbol,bb_yellow,spn
BBG001FC61X9,,,,TTCHJ1:NS,,BBG001FC61X9,TTCH=J1,TTCH=,,
BBG001FC64Z1,,,,SAILJ1:NS,,BBG001FC64Z1,SAIL=J1,SAIL=,,
BBG001FC67W7,,,,INBKJ1:NS,,BBG001FC67W7,IIB=J1,IIB=,,
BBG001FC60D3,,,,INFYJ1:NS,,BBG001FC60D3,INFO=J1,INFO=,,
BBG001FC61J5,,,,CUMMJ1:NS,,BBG001FC61J5,KKC=J1,KKC=,,
BBG001FC60L4,,,,TAMOJ1:NS,,BBG001FC60L4,TTMT=J1,TTMT=,,
BBG001FC64C6,,,,PLNGJ1:NS,,BBG001FC64C6,PLNG=J1,PLNG=,,
BBG001FC61W0,,,,SUNJ1:NS,,BBG001FC61W0,SUNP=J1,SUNP=,,
BBG001FC6819,,,,MRFJ1:NS,,BBG001FC6819,MRF=J1,MRF=,,
BBG001FC61M1,,,,BFRGJ1:NS,,BBG001FC61M1,BHFC=J1,BHFC=,,
BBG01139TG97,,,,,69550787,BBG01139TG97,LKAR1 IE,LKAR1,LKAR1 IE Equity,78228346
